                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1778,                 1.2323,                 1.1028,                0.98062,                0.95308,                0.98776,                0.65399,                 1.1653,                0.63432,                 1.0913,               0.070102,               0.003322,               0.003322
                      1,                 1.1563,                 0.6777,                 1.0779,                0.99315,                 0.9558,                0.98861,                0.67304,                 1.1277,                0.59704,                 1.0674,                0.03997,              0.0065236,              0.0065236
                      2,                 1.1736,                0.69049,                 1.0954,                0.97204,                0.94162,                0.97739,                0.60034,                 1.2226,                0.87792,                 1.1441,              0.0097065,              0.0095931,              0.0095931
                      3,                 1.1807,                0.67328,                 1.1052,                 0.9781,                0.92529,                0.95599,                0.62921,                 1.2478,                 0.7422,                 1.1458,               0.009406,               0.009406,               0.009406
                      4,                  1.172,                0.62595,                 1.0979,                0.97637,                0.96516,                0.98482,                0.66836,                 1.1398,                 0.5691,                 1.0934,               0.009406,               0.009406,               0.009406
                      5,                 1.1553,                0.58811,                 1.0917,                0.98601,                0.96798,                0.98842,                0.69001,                 1.1191,                0.53748,                 1.0901,               0.009208,               0.009208,               0.009208
                      6,                 1.1458,                0.56745,                 1.0822,                0.97886,                0.95917,                0.98376,                0.67189,                 1.1328,                0.57765,                 1.0898,                0.00901,                0.00901,                0.00901
                      7,                 1.1364,                0.55716,                 1.0832,                 0.9874,                0.96798,                0.98424,                 0.6729,                 1.1589,                0.51835,                 1.0827,               0.008812,               0.008812,               0.008812
                      8,                 1.1185,                0.54062,                 1.0726,                0.99028,                0.96422,                0.98634,                0.68586,                 1.1157,                0.49766,                 1.0733,               0.008614,               0.008614,               0.008614
                      9,                  1.108,                0.52831,                 1.0638,                0.98555,                0.97269,                 0.9892,                 0.6932,                 1.1001,                0.49446,                 1.0611,               0.008416,               0.008416,               0.008416
                     10,                 1.1084,                0.52411,                 1.0658,                0.98949,                0.97558,                0.99266,                0.69549,                 1.1042,                0.47682,                 1.0819,               0.008218,               0.008218,               0.008218
